251
0 8
c1698 0 0
c1700 0 0
c1703 0 30.376
c1704 0 397.882
c1706 0 421.216
c1707 0 651.21
c1711 0 43.381
c1712 0 569.186
c1713 0 326.995
c1715 0 0
c1718 0 505.055
c1721 0 128.628
c1722 0 234.49
c1725 0 15.967
c1726 0 285.881
c1730 0 151.069
c1736 0 236.396
c1737 0 153.64
c1739 0 160.283
c1740 0 400.822
c1742 0 292.81
c1744 0 0
c1753 0 1105.69
c1755 0 260.84
c1759 0 418.293
c1766 0 0
c1767 0 1106.69
c1768 0 202.887
c1769 0 970.381
c1770 0 1014.81
c1772 0 786.533
c1774 0 502.923
c1775 0 437.363
c1776 0 517.529
c1782 0 56.35
c1783 0 386.048
c1784 0 160.086
c1785 0 284.316
c1787 0 887.603
c1791 0 0
c1793 0 577.21
c1794 0 199.555
c1795 0 691.597
c1797 0 1084.13
c1798 0 726.961
c1801 0 416.543
c1802 0 504.367
c1804 0 546.025
c1806 0 1002.58
c1812 0 890.487
c1814 0 1051.6
c1815 0 0
c1816 0 294.582
c1817 0 767.844
c1820 0 683.686
c1822 0 40.216
c1825 0 818.849
c1827 0 580.527
c1829 0 1740.24
c1831 0 802.027
c1832 0 615.333
c1833 0 598.495
c1835 0 523.464
c1836 0 457.026
c1838 0 388.728
c1839 0 238.797
c1841 0 993.833
c1842 0 827.592
c1843 0 744.083
c1847 0 1154.08
c1848 0 1070.56
c1851 0 1090.22
c1857 0 1828.94
c1860 0 476.524
c1861 0 910.373
c1864 0 1653.42
c1866 0 1377.18
c1867 0 498.941
c1871 0 1023.73
c1873 0 1082.88
c1877 0 1449.06
c1878 0 1095.83
c1879 0 948.988
c1882 0 605.24
c1885 0 943.917
c1886 0 1330.73
c1889 0 629.222
c1892 0 1181.67
c1895 0 741.717
c1897 0 1392.56
c1898 0 1100.63
c1900 0 1074.9
c1901 0 320.293
c1902 0 787.002
c1903 0 1044.3
c1905 0 1593.86
c1908 0 688.159
c1909 0 511.378
c1910 0 1453.67
c1911 0 1785.3
c1912 0 1234.63
c1913 0 2235.27
c1915 0 972.448
c1916 0 1272.46
c1919 0 1289.02
c1922 0 980.19
c1926 0 1620.49
c1927 0 1437.79
c1931 0 1837.57
c1933 0 1868.14
c1934 0 2119.5
c1936 0 940.463
c1937 0 502.563
c1941 0 1629.88
c1942 0 779.662
c1943 0 1394.18
c1944 0 1517.78
c1945 0 1625.73
c1948 0 955.631
c1950 0 1116.21
c1951 0 1403.93
c1955 0 1457.91
c1956 0 645.609
c1957 0 1534.91
c1958 0 1552.16
c1959 0 1050.38
c1961 0 692.191
c1962 0 1836.55
c1963 0 1521.53
c1965 0 1176.77
c1967 0 1978.52
c1969 0 1774.68
c1970 0 2207.09
c1972 0 1299.11
c1973 0 1307.46
c1975 0 1269.59
c1976 0 1751.48
c1977 0 991.239
c1978 0 1488.38
c1979 0 1872.19
c1980 0 1192.15
c1983 0 1939.39
c1987 0 1815.12
c1988 0 2163.98
c1993 0 1714.86
c1994 0 1693.69
c1996 0 1689.12
c1997 0 1824.98
c1999 0 2308.83
c2004 0 2051.07
c2005 0 1530.56
c2006 0 1775.87
c2008 0 1796.76
c2010 0 1004.17
c2013 0 1977.51
c2014 0 2266.18
c2017 0 890.385
c2020 0 2121.78
c2025 0 1140.07
c2026 0 1780
c2027 0 1808.38
c2028 0 2145.47
c2030 0 1919.57
c2031 0 2428.69
c2033 0 1878.67
c2035 0 1866.7
c2038 0 1521.46
c2039 0 1517.24
c2040 0 1607.96
c2041 0 989.958
c2044 0 2511.22
c2045 0 1770.66
c2048 0 2616.79
c2049 0 1888.2
c2052 0 1667.31
c2054 0 2296.53
c2057 0 1598.13
c2058 0 1355.85
c2060 0 1334.46
c2061 0 2493.15
c2068 0 1553.81
c2069 0 1320.57
c2071 0 2090.72
c2072 0 1803.24
c2076 0 1420.98
c2077 0 2520.45
c2078 0 3092.25
c2082 0 1861.14
c2084 0 2082.73
c2085 0 2664.91
c2086 0 2923.27
c2089 0 2228.81
c2091 0 2489.35
c2093 0 2935.37
c2094 0 2034.06
c2101 0 2079.66
c2104 0 1928.14
c2107 0 1900.89
