39
0 8
8 12
20 8
28 12
40 8
48 12
60 12
72 8
80 12
92 8
100 12
112 8
120 12
132 8
140 12
152 8
160 12
172 8
180 12
192 8
200 12
212 8
220 12
232 12
244 8
252 12
264 12
276 8
284 12
296 8
304 12
316 8
324 12
336 12
348 8
356 12
368 12
380 12
392 8
c0 8 6
c1 80 36
c2 8 24
c3 8 -2
c4 8 -11
c5 48 51
c6 8 18
c7 8 12
c8 8 64
c9 8 30
c10 28 0
c11 8 70
c12 8 139
c13 8 52
c14 48 131
c15 8 92
c16 8 38
c17 8 78
c18 48 140
c19 8 114
c20 8 95
c21 80 93
c22 8 130
c23 28 107
c24 8 106
c25 8 136
c26 8 142
c27 8 181
c28 8 204
c29 8 173
c30 8 193
c31 8 187
c32 8 226
c33 8 167
c34 8 210
c35 8 247
c36 8 280
c37 8 255
c38 8 232
c39 8 241
c40 28 243
c41 8 294
c42 80 297
c43 8 286
c44 48 0
c45 60 3
c46 48 15
c47 48 26
c48 80 23
c49 28 43
c50 8 58
c51 48 3
c52 80 14
c53 8 -5
c54 60 127
c55 48 122
c56 80 47
c57 48 79
c58 8 103
c59 48 94
c60 8 84
c61 60 119
c62 8 46
c63 80 102
c64 28 157
c65 28 89
c66 8 122
c67 28 134
c68 8 164
c69 8 156
c70 28 110
c71 28 197
c72 48 257
c73 48 154
c74 8 150
c75 80 202
c76 8 196
c77 8 218
c78 8 263
c79 28 211
c80 80 241
c81 28 272
c82 48 208
c83 8 238
c84 28 294
c85 28 278
c86 28 286
c87 28 266
c88 0 9
c89 20 3
c90 0 18
c91 0 0
c92 0 48
c93 20 0
c94 92 6
c95 40 6
c96 0 51
c97 20 68
c98 72 90
c99 72 138
c100 20 51
c101 40 105
c102 0 90
c103 0 72
c104 20 89
c105 40 135
c106 0 111
c107 0 69
c108 40 123
c109 20 179
c110 0 78
c111 40 120
c112 20 74
c113 40 147
c114 20 115
c115 0 96
c116 40 144
c117 72 132
c118 0 213
c119 40 186
c120 0 162
c121 0 177
c122 0 183
c123 72 216
c124 0 174
c125 0 228
c126 0 219
c127 72 222
c128 0 207
c129 40 183
c130 0 201
c131 20 220
c132 20 176
c133 20 248
c134 20 239
c135 0 285
c136 40 282
c137 0 261
c138 20 282
c139 112 214
c140 72 267
c141 92 255
c142 40 291
c143 72 258
c144 92 27
c145 20 12
c146 0 75
c147 72 15
c148 72 24
c149 40 33
c150 92 0
c151 0 45
c152 20 62
c153 0 30
c154 20 83
c155 72 69
c156 0 42
c157 40 66
c158 20 80
c159 20 86
c160 0 60
c161 0 108
c162 20 59
c163 112 99
c164 72 102
c165 0 132
c166 0 144
c167 72 45
c168 40 78
c169 92 108
c170 20 170
c171 0 120
c172 20 143
c173 40 168
c174 40 192
c175 0 156
c176 0 231
c177 0 171
c178 20 128
c179 72 177
c180 40 212
c181 40 220
c182 40 204
c183 20 205
c184 0 225
c185 0 243
c186 20 254
c187 40 238
c188 0 273
c189 72 237
c190 40 196
c191 0 195
c192 0 279
c193 0 249
c194 40 297
c195 20 288
c196 0 291
c197 0 294
c198 72 291
c199 72 297
c200 0 3
c201 72 36
c202 72 3
c203 40 45
c204 0 36
c205 72 0
c206 20 22
c207 72 108
c208 40 48
c209 112 96
c210 72 99
c211 40 0
c212 40 60
c213 0 102
c214 40 57
c215 0 66
c216 40 126
c217 72 66
c218 40 132
c219 40 141
c220 0 84
c221 40 114
c222 40 153
c223 0 141
c224 40 102
c225 72 120
c226 40 162
c227 112 145
c228 0 126
c229 40 177
c230 0 150
c231 40 171
c232 132 159
c233 0 168
c234 40 129
c235 20 123
c236 0 189
c237 72 249
c238 0 255
c239 72 246
c240 72 234
c241 20 195
c242 0 264
c243 72 261
c244 40 229
c245 20 214
c246 92 261
c247 40 294
c248 20 233
c249 40 226
c250 40 272
c251 20 294
c252 20 259
c253 0 237
c254 92 222
c255 92 291
c256 0 267
c257 40 276
c258 80 17
c259 120 24
c260 28 17
c261 28 3
c262 28 51
c263 100 62
c264 80 3
c265 60 0
c266 48 88
c267 28 31
c268 48 65
c269 48 76
c270 28 68
c271 100 76
c272 28 76
c273 28 126
c274 28 143
c275 48 119
c276 28 149
c277 100 93
c278 48 68
c279 28 83
c280 48 193
c281 28 171
